job_category,age_group,median,lwr_95CrI,upr_95CrI,census_mean,census_lwr95,census_upr95,overlap
1,20-29,0.004656375,0.0046017060000000005,0.00471212425,0.004664032616889508,0.004609243780338247,0.0047194696257157115,TRUE
2,20-29,0.00107653,0.00107159,0.0010817,2.1834975952572116e-4,2.0672114447076848e-4,2.3063236425746516e-4,FALSE
3,20-29,0.00107742,0.00107235975,0.00108260025,4.666757730892948e-5,4.145943182299979e-5,5.2529937126506866e-5,FALSE
4,20-29,0.0121151,0.012025597499999999,0.012203812500000001,0.01213203722369473,0.012043804207548513,0.012220908639852507,TRUE
5,20-29,0.06856075,0.06834979000000001,0.0687647225,0.06869365188099291,0.0684893436547696,0.06889852449348184,TRUE
6,20-29,0.00124945,0.00122272575,0.0012783109999999999,0.0012356688809353408,0.0012075773418113833,0.0012644130785223425,TRUE
7,20-29,0.0266744,0.026541795000000003,0.02680601,0.02672161631961772,0.02659147977775239,0.026852372170289254,TRUE
8,20-29,0.015818,0.015714594999999998,0.015917907499999998,0.015841428341253763,0.015740747261754708,0.01594274296683768,TRUE
9,20-29,0.114346,0.114082975,0.114609,0.11458985160732334,0.11433245633292563,0.11484775121047792,TRUE
10,20-29,0.0222887,0.022170997499999998,0.0224107,0.022327880947944533,0.022208684054111395,0.0224477029000098,TRUE
11,20-29,0.009480184999999999,0.009397337,0.00955669,0.00949548942536543,0.00941736434460582,0.009574256356193325,TRUE
12,20-29,0.0200515,0.0199380975,0.0201672075,0.020096353218376672,0.019983157691603238,0.020210176723449623,TRUE
13,20-29,0.0559659,0.055773195,0.056149920000000006,0.056072456693680495,0.05588665632617253,0.05625883796292911,TRUE
14,20-29,0.0339206,0.0337773775,0.0340677075,0.0339947752751769,0.033848499380319835,0.034141660961542225,TRUE
15,20-29,0.0433823,0.0432219,0.043543717499999995,0.043449387990490716,0.04328478436102197,0.043614589039626714,TRUE
16,20-29,0.14193850000000002,0.141661,0.142222025,0.14219270166780384,0.14191043869053033,0.14247543285410277,TRUE
17,20-29,0.00464704,0.0045941390000000006,0.0046996035,0.0046488741702453654,0.004594174554879666,0.004704221977721608,TRUE
18,20-29,0.028044350000000003,0.0279091975,0.02818352,0.02805760345980474,0.027924336679502223,0.028191487800706422,TRUE
19,20-29,0.01821005,0.0181013975,0.01831621,0.0182410615409089,0.018133131300746463,0.01834962218711426,TRUE
20,20-29,0.02072035,0.020609995,0.020831805000000002,0.020739820762439208,0.02062485977705205,0.020855408884115918,TRUE
21,20-29,0.355778,0.355376,0.356173025,0.35654029064022125,0.3561529526755182,0.3569278163292413,TRUE
1,30-39,0.0075114,0.00744941625,0.007574602,0.007523071325402164,0.0074584138722433935,0.007588285012695328,TRUE
2,30-39,9.321475000000001e-4,9.277628e-4,9.366380250000001e-4,4.4837940247931756e-4,4.3274988791414435e-4,4.64573141776838e-4,FALSE
3,30-39,9.35338e-4,9.307718999999999e-4,9.39898325e-4,6.556629951009037e-5,5.97572723807305e-5,7.19399837447728e-5,FALSE
4,30-39,0.017241649999999997,0.017145595,0.017340804999999997,0.01726245998581357,0.01716485289234528,0.01736061231314374,TRUE
5,30-39,0.0739272,0.07372129250000001,0.074124305,0.07403243767710067,0.07383592127072104,0.07422943519779149,TRUE
6,30-39,0.0012859149999999999,0.00125889,0.00131286575,0.001280159946488491,0.0012535696698134592,0.001307313508431087,TRUE
7,30-39,0.02328425,0.0231712975,0.023397905,0.023314258832522944,0.023201128743251642,0.023427927320377358,TRUE
8,30-39,0.0170608,0.016966,0.017159905,0.017081344109139956,0.016984242967743812,0.01717899068896154,TRUE
