pref_idx,age_group,median,lwr_95CrI,upr_95CrI,census_mean,census_lwr95,census_upr95,overlap
1,20-29,0.03937995,0.039205495,0.0395572,0.038997340874328816,0.038821354590229826,0.03917409243057988,FALSE
2,20-29,0.005280095,0.0052150445,0.005344570999999999,0.005228151772617207,0.005162859382674154,0.005294265492133057,TRUE
3,20-29,0.004048175,0.00398917975,0.0041064765,0.004005433630647509,0.003948300573176012,0.004063390047424442,TRUE
4,20-29,0.0179277,0.01780588,0.01804742,0.01774788671135058,0.017627997280670278,0.017868576688633533,TRUE
5,20-29,0.00306073,0.0030087575,0.0031122009999999998,0.003031839718699204,0.0029821623564034753,0.0030823420564826047,TRUE
6,20-29,0.005040425,0.004977362999999999,0.00510606,0.004985077393801884,0.004921322861959092,0.005049653658725022,TRUE
7,20-29,0.00812856,0.008047398749999999,0.00820994175,0.008043061112355893,0.00796209204201953,0.008124846839468298,TRUE
8,20-29,0.0135925,0.01348859,0.013696707499999999,0.013455085148414734,0.013350523597497702,0.013560454372057069,TRUE
9,20-29,0.01086865,0.010774297500000002,0.010967005,0.010762901361713473,0.01066930043743937,0.010857314427783154,TRUE
10,20-29,0.009375075,0.00928779625,0.0094648735,0.00928306454348579,0.0091961010170946,0.009370842668226517,TRUE
11,20-29,0.0692609,0.0690312725,0.06948900499999999,0.06859775036282903,0.06836782359233773,0.0688283932682958,FALSE
12,20-29,0.057200100000000004,0.0569976825,0.057406917499999995,0.05664929423084028,0.056439053787954656,0.05686027064333912,FALSE
13,20-29,0.184078,0.18372097499999998,0.18441402499999998,0.18232004447504901,0.18196854507735913,0.18267207122679732,FALSE
14,20-29,0.104184,0.103897,0.104456025,0.10318021231952808,0.10290340606370331,0.10345767730286101,FALSE
15,20-29,0.00101842,0.00101383925,0.0010230502499999998,0.010778458121957653,0.010684790011198073,0.01087293834868833,FALSE
16,20-29,0.004258575,0.004199448000000001,0.004319637499999999,0.004209832174966882,0.004151255081001613,0.004269232288932574,TRUE
17,20-29,0.00747139,0.007391877,0.007552784,0.007389028983756798,0.0073114134571816555,0.0074674622528122965,TRUE
18,20-29,0.003728515,0.0036731285,0.00378459625,0.003681334458893746,0.0036265697844308368,0.003736923030672156,TRUE
19,20-29,0.002799025,0.0027525287500000002,0.0028465627500000004,0.0027686711912351483,0.0027212108550124536,0.002816956939809688,TRUE
20,20-29,0.0074236,0.00734526825,0.00750144825,0.007351001347604356,0.007273585391484247,0.007429235109331336,TRUE
21,20-29,0.008126604999999999,0.0080437765,0.008209530999999999,0.008046950302416938,0.007965961716447709,0.008128755538706088,TRUE
22,20-29,0.0232956,0.023155295000000003,0.023435517500000003,0.02307802169001297,0.022941621888774612,0.02321521318974045,TRUE
23,20-29,0.0725172,0.0722723975,0.072759915,0.07180698036153478,0.0715721320277749,0.07204253950289449,FALSE
24,20-29,0.0085995,0.0085138185,0.0086840525000000009,0.008511492448597332,0.008428206623758447,0.008595594152608379,TRUE
25,20-29,0.009147414999999999,0.009060368249999999,0.00923536775,0.009060084313319202,0.008974166941848548,0.009146816653290316,TRUE
26,20-29,0.0254612,0.02530948,0.0256045125,0.025207353248435194,0.025064936007689068,0.025350558652944315,TRUE
27,20-29,0.09641425,0.096142795,0.09668382,0.09549366029610132,0.09522624284525245,0.09576174923426374,FALSE
28,20-29,0.04202115,0.041834935,0.042206024999999994,0.041610228397007655,0.04142867509128092,0.04179254263744932,FALSE
29,20-29,0.00841931,0.00833411625,0.0085080585,0.008341448416483857,0.008258995849521748,0.008424717144894078,TRUE
30,20-29,0.003270475,0.0032189782500000002,0.00332359,0.0032368864613620853,0.0031855482564434067,0.0032890493013874008,TRUE
31,20-29,0.00214886,0.0021075350000000002,0.00219024175,0.0021215531783001346,0.0020800457601513563,0.002163887083027521,TRUE
32,20-29,0.001919695,0.00187912875,0.0019598105,0.0018959801547595151,0.0018567594245023616,0.0019360277460502822,TRUE
33,20-29,0.0109551,0.010857197499999999,0.0110506,0.010844142220766417,0.010750190984418559,0.010938905464048665,TRUE
34,20-29,0.02012875,0.020002700000000002,0.0202549,0.019933827591772462,0.01980688559006891,0.02006156651138011,TRUE
35,20-29,0.00698914,0.00691250975,0.00706542525,0.006918220920255831,0.006843114467080524,0.006994145897460781,TRUE
36,20-29,0.00236399,0.00232000975,0.00240885575,0.0023317855077110757,0.0022882547575381364,0.0023761423954734274,TRUE
37,20-29,0.0031817349999999998,0.0031294777500000003,0.0032327617500000003,0.0031508921477900868,0.0031002438222011404,0.0032023652512376743,TRUE
38,20-29,0.006958555,0.006882794,0.00703345,0.00688797166422548,0.006813029357078862,0.006963732545616014,TRUE
39,20-29,0.00293943,0.00288870325,0.0029900427499999997,0.002904360711142724,0.00285574461289664,0.0029538019964937723,TRUE
40,20-29,0.04173945,0.041560175,0.0419221325,0.04133604049770397,0.041155061890502526,0.04151778049477686,FALSE
41,20-29,0.002895815,0.0028472890000000002,0.0029443075000000003,0.0028617956865857296,0.002813539156491318,0.002910877474443761,TRUE
42,20-29,0.0058882199999999996,0.00581891725,0.0059577505,0.005825790645331146,0.005756865015110387,0.005895536613034142,TRUE
43,20-29,0.009067825000000002,0.00898328975,0.009154822249999998,0.008977114925350237,0.008891590193380632,0.00906345476355088,TRUE
44,20-29,0.00533914,0.0052744845,0.00540675225,0.005289514549135919,0.0052238397084891945,0.005356010617492203,TRUE
45,20-29,0.00474826,0.0046856195,0.00481322,0.004703543246605115,0.004641618267123684,0.004766290426518302,TRUE
46,20-29,0.005886105,0.0058201055,0.005954080499999999,0.005822117521384604,0.005753213626725173,0.005891841759623719,TRUE
47,20-29,0.0114518,0.0113568975,0.0115489,0.011336772961832137,0.01124072594358613,0.011433631169237233,TRUE
1,30-39,0.04059765,0.040425995,0.040764705000000005,0.04060214213865241,0.04043205374812285,0.040772915648868244,TRUE
2,30-39,0.00570334,0.00563813,0.0057711315,0.0056964008203935265,0.005631780311322993,0.005761758505576233,TRUE
3,30-39,0.0041908499999999994,0.004137345,0.004243162,0.004190288438282392,0.004134876234393625,0.004246440064413184,TRUE
4,30-39,0.017550549999999998,0.0174363975,0.017663402499999998,0.01754963532242141,0.017436607544223062,0.017663382599496034,TRUE
5,30-39,0.003338845,0.0032885965,0.0033894355000000003,0.003337167685688186,0.003287735790612853,0.0033873402753010345,TRUE
6,30-39,0.00524324,0.005176539500000001,0.0053084615,0.00524101486235348,0.00517903213634256,0.005303735443613141,TRUE
7,30-39,0.008400415000000001,0.0083229245,0.008481220749999999,0.00839940570773694,0.008320964134424378,0.00847858042605481,TRUE
8,30-39,0.0134429,0.013342695,0.013543902499999998,0.013440873781997851,0.013341798695203263,0.013540674495240643,TRUE
9,30-39,0.0111151,0.01102539,0.0112021,0.011113669071451338,0.01102350640053058,0.011204560839480284,TRUE
10,30-39,0.008710585,0.00863151775,0.0087913265,0.008709207919600503,0.00862933847073576,0.008789810051449253,TRUE
11,30-39,0.06896825,0.0687504725,0.069191305,0.06897253203521807,0.06875403015027527,0.06919167672987053,TRUE
12,30-39,0.056225250000000004,0.056019084999999996,0.056422305,0.05622677211329754,0.05602818242878178,0.056426023615820234,TRUE
13,30-39,0.184503,0.184169975,0.18482502499999998,0.18453419218685033,0.18419945029500426,0.1848694045463566,TRUE
14,30-39,0.100888,0.100626975,0.101146,0.10089807701341351,0.10063828684002336,0.10115846238458177,TRUE
15,30-39,0.0115862,0.011494095,0.011678602500000001,0.011592348428879622,0.011500278805891556,0.011685146435100865,TRUE
