pref_idx,age_group,median,lwr_95CrI,upr_95CrI,census_mean,census_lwr95,census_upr95,overlap
1,20-29,0.0401487,0.039967789999999996,0.0403305025,0.040118073553865895,0.039938185146577536,0.040298738198979785,TRUE
2,20-29,0.00515584,0.00508882125,0.00522503325,0.005150778636472786,0.005085433046912621,0.00521695948539295,TRUE
3,20-29,0.004051605,0.0039953474999999995,0.0041108015000000005,0.00404768375339623,0.003989772180149858,0.004106432447923943,TRUE
4,20-29,0.0177227,0.017604,0.0178472125,0.017704222496061395,0.01758348013575993,0.017825778926679747,TRUE
5,20-29,0.003031475,0.00298320775,0.0030821435,0.0030228007361582025,0.0029727863696747386,0.0030736539538300097,TRUE
6,20-29,0.004739135,0.0046770447500000005,0.00480251025,0.004732037579483358,0.0046694087868258,0.004795502338296788,TRUE
7,20-29,0.007434235,0.0073537545,0.007514023,0.007426172722117854,0.00734771527943228,0.007505461583510305,TRUE
8,20-29,0.0117506,0.011651495000000001,0.0118495075,0.01173968894086414,0.011641148464504321,0.011839053555117527,TRUE
9,20-29,0.00936265,0.009275984,0.0094474835,0.009347196752713633,0.009259208162044558,0.009436013519580082,TRUE
10,20-29,0.008096525,0.008014778500000002,0.00818143025,0.008091193277997706,0.008009307083852635,0.008173909768356942,TRUE
11,20-29,0.06806795,0.06783773,0.0682947075,0.06801861881799462,0.06778768250531778,0.06825028427497726,TRUE
12,20-29,0.0557873,0.0555744975,0.056002205000000006,0.055748143731439784,0.05553774368338676,0.05595929363521679,TRUE
13,20-29,0.18708,0.18673397500000002,0.187445025,0.18699490458481913,0.18663697263229587,0.18735336486076776,TRUE
14,20-29,0.0992188,0.0989457975,0.0994914,0.09917022922447882,0.09889598580872543,0.09944514920352332,TRUE
15,20-29,0.0107066,0.0106102975,0.0108021175,0.0107000862747183,0.010605979811011157,0.010795018631071409,TRUE
16,20-29,0.003804815,0.0037502894999999997,0.00386125175,0.00379349518942101,0.00373743774380879,0.0038503901853611747,TRUE
17,20-29,0.006796415,0.006721273999999999,0.00687385025,0.006791689945315406,0.006716653463490402,0.006867558916795072,TRUE
18,20-29,0.00333009,0.00327619825,0.0033838745000000004,0.0033187315880809512,0.00326631389032714,0.0033719876375194113,TRUE
19,20-29,0.002646245,0.0025990375,0.00269330375,0.002642945915835684,0.002596197831752579,0.002690533492266662,TRUE
20,20-29,0.00669543,0.0066224595,0.00677154175,0.00668887209921307,0.006614405119479094,0.006764171742148649,TRUE
21,20-29,0.008076775000000001,0.0079985515,0.008159771000000001,0.008065708512724477,0.007983950995258502,0.008148296369420526,TRUE
22,20-29,0.021680449999999997,0.0215445875,0.021821405000000002,0.021652603543392976,0.021519297575230464,0.021786716917373203,TRUE
23,20-29,0.0681469,0.0679098975,0.0683725275,0.06810342157140381,0.06787235157445855,0.06833522056951571,TRUE
24,20-29,0.00790469,0.00782300375,0.007988631999999999,0.007893466650877829,0.00781258432499267,0.00797517960672127,TRUE
25,20-29,0.0082792,0.008193117,0.008361160749999999,0.008273101774947993,0.008190303063820362,0.008356730475245202,TRUE
26,20-29,0.0257129,0.02557078,0.02585742,0.025696772156751518,0.02555181166936633,0.025842533223774767,TRUE
27,20-29,0.100005,0.0997220975,0.100279,0.09994092367774163,0.09966573267088168,0.1002167899470323,TRUE
28,20-29,0.04473555,0.0445427975,0.044925005000000004,0.044700937377999926,0.044511481459806164,0.044891161798572256,TRUE
29,20-29,0.00924925,0.009161069,0.00933744825,0.00924811374290134,0.009160590623289399,0.00933646520595354,TRUE
30,20-29,0.00318998,0.00314031925,0.00324132075,0.0031877926216771217,0.0031364243812321466,0.0032399994348195167,TRUE
31,20-29,0.002167765,0.00212386625,0.002211472,0.0021580762868872753,0.0021158635699819596,0.0022011293145552027,TRUE
32,20-29,0.00104722,0.0010425497499999999,0.00105211,0.0018017289655667867,0.0017631877431467902,0.001841111100230457,FALSE
33,20-29,0.0111322,0.0110365,0.011227202499999998,0.011119486420464795,0.011023565479586366,0.011216232546080835,TRUE
34,20-29,0.019921,0.0197933925,0.0200493225,0.019902503197129714,0.01977460151351566,0.020031215240567734,TRUE
35,20-29,0.00659829,0.00652117525,0.006675787250000001,0.006590448178157842,0.0065165305613657685,0.006665198624281924,TRUE
36,20-29,0.002287065,0.00224466425,0.002329551,0.0022839622394869303,0.002240526483347996,0.002328238093904722,TRUE
37,20-29,0.0029929049999999997,0.00294534,0.003043414,0.0029845735882483597,0.002934878185148241,0.0030351079070606844,TRUE
38,20-29,0.00713571,0.0070583487499999995,0.007214061,0.007123650982624443,0.007046805217740268,0.007201328676843993,TRUE
39,20-29,0.0030040550000000003,0.00295534,0.0030556405000000003,0.0030006114146703053,0.002950781944129246,0.0030512797738532138,TRUE
40,20-29,0.0444865,0.044301095000000006,0.044667017499999996,0.04446234724794194,0.04427337519824783,0.044652088202732525,TRUE
41,20-29,0.00301222,0.0029632545,0.0030599204999999996,0.003002149288436793,0.002952306981126619,0.003052830481793029,TRUE
42,20-29,0.0060168,0.0059472019999999995,0.00608826475,0.00601176824945367,0.005941168785326937,0.0060832015196701904,TRUE
43,20-29,0.00940485,0.00931799675,0.009491323,0.009391355699437073,0.0093031604769081,0.009480379023627234,TRUE
44,20-29,0.005264505,0.00519806975,0.005335055250000001,0.005259747977641073,0.005193713964818684,0.005326617065893371,TRUE
45,20-29,0.00484821,0.00478544975,0.004909643,0.0048432038831751996,0.0047798423346013036,0.004907401210266609,TRUE
46,20-29,0.0066914999999999995,0.0066171115,0.00676745025,0.006682061515390052,0.0066076324162741085,0.006757323289203229,TRUE
47,20-29,0.0113784,0.011279795,0.011476707499999999,0.01137191741442117,0.011274921386116145,0.01146973820138382,TRUE
1,30-39,0.0427778,0.0425979925,0.04295800500000001,0.04277623176207173,0.04260053386992485,0.04295262177732039,TRUE
2,30-39,0.005963215,0.0058959157499999994,0.006029606000000001,0.005965032986484644,0.005898414392344489,0.006032399426728861,TRUE
3,30-39,0.00442255,0.0043634295,0.00447745725,0.004418754575983191,0.00436142516106856,0.004476834177682934,TRUE
4,30-39,0.0182166,0.0180973925,0.018337904999999998,0.01821586109659669,0.01809988086957473,0.018332570625014977,TRUE
5,30-39,0.00344846,0.00339509,0.00350003425,0.0034485870309641856,0.0033979600002194115,0.003499965717086514,TRUE
6,30-39,0.005324065,0.005261637749999999,0.0053878365,0.005320750315442372,0.005257832868366161,0.005384416583906416,TRUE
7,30-39,0.00818799,0.008113307750000001,0.008268181000000001,0.008181404780538014,0.008103407496814973,0.008260146555329296,TRUE
8,30-39,0.01249245,0.012394,0.01258972,0.01248391263605792,0.01238768479075179,0.012580878459505167,TRUE
9,30-39,0.0101649,0.010079995000000001,0.0102524,0.010157993085093388,0.010071126358106853,0.010245601311084925,TRUE
10,30-39,0.008044355,0.007967482500000001,0.00811943325,0.008042499801001376,0.007965165298213096,0.0081205790051255,TRUE
11,30-39,0.0663037,0.066082195,0.0665174075,0.06631540454252778,0.06609925163938186,0.06653221393632064,TRUE
12,30-39,0.0543757,0.0541860925,0.0545781225,0.05438120097442336,0.054184252666434514,0.05457882383847605,TRUE
13,30-39,0.182641,0.18231,0.18298405,0.18269511913515593,0.18235918236684315,0.1830315362241642,TRUE
14,30-39,0.0967327,0.096470575,0.09699421750000001,0.09673894454282726,0.09648208000298311,0.09699641951964326,TRUE
15,30-39,0.01168745,0.011595595,0.011785005000000001,0.011690282483471292,0.011597138489003447,0.01178416565743898,TRUE
16,30-39,0.0040565,0.00399849925,0.0041135977500000006,0.0040491294105779,0.003994256080868638,0.004104753486592871,TRUE
17,30-39,0.00651304,0.0064455185,0.0065852242500000005,0.006506466864167874,0.0064368926512908455,0.006576788103552695,TRUE
18,30-39,0.00379957,0.0037476197500000002,0.003854461,0.0038000855891107952,0.0037469316856298318,0.0038539906158878917,TRUE
19,30-39,0.00243036,0.0023882885000000003,0.00247049025,0.0024299505143621837,0.00238749204348149,0.002473162182582846,TRUE
20,30-39,0.007213715,0.007141334250000001,0.007287813749999999,0.007215768887333679,0.007142506474061577,0.007289777253406669,TRUE
21,30-39,0.008236295000000001,0.0081579485,0.00831555475,0.008230858893819852,0.008152627034708917,0.008309835169137796,TRUE
22,30-39,0.0239051,0.0237688675,0.024040910000000002,0.023906236577444354,0.023773699899763835,0.024039493942707563,TRUE
23,30-39,0.06726745,0.067051485,0.06747560250000001,0.06725660892160085,0.06703903439270303,0.06747483851639619,TRUE
24,30-39,0.00805723,0.0079820675,0.00813626,0.008057276926483998,0.00797987163778592,0.008135426894149023,TRUE
25,30-39,0.00859464,0.0085163065,0.008673562249999999,0.008591814812275339,0.008511892276621028,0.008672481217739144,TRUE
26,30-39,0.022903,0.022771797499999996,0.023035602500000002,0.022908682093197557,0.022778881982152024,0.023039204401875242,TRUE
27,30-39,0.0935355,0.0932785975,0.09378374,0.09354767652360045,0.09329464543180394,0.09380132288315511,TRUE
28,30-39,0.0456614,0.04547729,0.045843010000000003,0.04566309099635655,0.04548182202555752,0.045845047720270274,TRUE
29,30-39,0.009146805000000001,0.00906534,0.009229437,0.009145070390344666,0.00906262572367021,0.009228258089337233,TRUE
30,30-39,0.003454275,0.0034042394999999996,0.00350794325,0.003451739484400478,0.0034010892269841493,0.0035031413924223307,TRUE
31,30-39,0.002326895,0.002284297,0.0023686105000000003,0.0023261165793043007,0.0022845811146632294,0.002368405398464101,TRUE
32,30-39,0.001836465,0.001797069,0.0018754017499999999,0.001831772474825689,0.0017949470183500488,0.0018693520341341195,TRUE
